source_id,form_id,source_type,source_name,source_url,retrieved_date,verified_date,source_version
55,28,OFFICIAL_WEBSITE,GST Network - GSTR-1 Return,https://www.gst.gov.in,2024-01-20,2024-01-20,2024
56,28,OFFICIAL_GUIDELINE,GST Return Filing Instructions,https://www.gst.gov.in,2024-01-20,2024-01-20,2024
57,29,OFFICIAL_WEBSITE,CBIC - Customs Declaration Form C,https://www.cbic.gov.in,2024-01-15,2024-01-15,2024
58,29,OFFICIAL_GUIDELINE,Customs Procedure Guidelines,https://www.cbic.gov.in,2024-01-15,2024-01-15,2024
59,30,OFFICIAL_WEBSITE,Passport India - Minor Application,https://www.passportindia.gov.in,2024-01-20,2024-01-20,2024
60,30,OFFICIAL_GUIDELINE,Minor Passport Application Guidelines,https://www.passportindia.gov.in,2024-01-20,2024-01-20,2024
61,31,OFFICIAL_WEBSITE,Ministry of External Affairs - Visa,https://www.mea.gov.in,2024-01-20,2024-01-20,2024
62,31,OFFICIAL_GUIDELINE,Visa Application Guidelines,https://www.mea.gov.in,2024-01-20,2024-01-20,2024
63,32,OFFICIAL_WEBSITE,Ministry of External Affairs - OCI,https://www.mea.gov.in,2024-01-20,2024-01-20,2024
64,32,OFFICIAL_GUIDELINE,OCI Application Guidelines,https://www.mea.gov.in,2024-01-20,2024-01-20,2024
65,33,OFFICIAL_WEBSITE,State Revenue - Domicile Certificate,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
66,33,OFFICIAL_GUIDELINE,Domicile Certificate Process,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
67,34,OFFICIAL_WEBSITE,State Revenue - Caste Certificate,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
68,34,OFFICIAL_GUIDELINE,Caste Certificate Guidelines,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
69,35,OFFICIAL_WEBSITE,State Revenue - Income Certificate,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
70,35,OFFICIAL_GUIDELINE,Income Certificate Process,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
71,36,OFFICIAL_WEBSITE,Commercial Banks - Loan Application,https://www.rbi.org.in,2024-01-15,2024-01-15,2024
72,36,OFFICIAL_GUIDELINE,Loan Application Guidelines,https://www.rbi.org.in,2024-01-15,2024-01-15,2024
73,37,OFFICIAL_WEBSITE,CDSL - DEMAT Account Opening,https://www.cdsl.co.in,2024-01-15,2024-01-15,2024
74,37,OFFICIAL_GUIDELINE,DEMAT Account Guidelines,https://www.cdsl.co.in,2024-01-15,2024-01-15,2024
75,38,OFFICIAL_WEBSITE,NSE - Trading Account,https://www.nseindia.com,2024-01-15,2024-01-15,2024
76,38,OFFICIAL_GUIDELINE,Trading Account Guidelines,https://www.nseindia.com,2024-01-15,2024-01-15,2024
77,39,OFFICIAL_WEBSITE,AMFI - Mutual Fund Investment,https://www.amfiindia.com,2024-01-15,2024-01-15,2024
78,39,OFFICIAL_GUIDELINE,Mutual Fund Application Process,https://www.amfiindia.com,2024-01-15,2024-01-15,2024
79,40,OFFICIAL_WEBSITE,PFRDA - NPS Subscription,https://www.nps.gov.in,2024-01-20,2024-01-20,2024
80,40,OFFICIAL_GUIDELINE,NPS Account Opening Guidelines,https://www.nps.gov.in,2024-01-20,2024-01-20,2024
81,41,OFFICIAL_WEBSITE,EPFO - Form 13 PF Transfer,https://www.epfindia.gov.in,2024-01-20,2024-01-20,2024
82,41,OFFICIAL_GUIDELINE,PF Transfer Instructions,https://www.epfindia.gov.in,2024-01-20,2024-01-20,2024
83,42,OFFICIAL_WEBSITE,EPFO - Form 19 PF Settlement,https://www.epfindia.gov.in,2024-01-20,2024-01-20,2024
84,42,OFFICIAL_GUIDELINE,PF Settlement Process,https://www.epfindia.gov.in,2024-01-20,2024-01-20,2024
85,43,OFFICIAL_WEBSITE,ESIC - Maternity Benefit Claim,https://www.esic.nic.in,2024-01-15,2024-01-15,2024
86,43,OFFICIAL_GUIDELINE,Maternity Benefit Guidelines,https://www.esic.nic.in,2024-01-15,2024-01-15,2024
87,44,OFFICIAL_WEBSITE,Social Welfare - Disability Certificate,https://socialwelfare.gov.in,2024-01-15,2024-01-15,2024
88,44,OFFICIAL_GUIDELINE,Disability Assessment Guidelines,https://socialwelfare.gov.in,2024-01-15,2024-01-15,2024
89,45,OFFICIAL_WEBSITE,UPSC - Civil Services Exam,https://www.upsc.gov.in,2024-01-20,2024-01-20,2024
90,45,OFFICIAL_GUIDELINE,UPSC Application Guidelines,https://www.upsc.gov.in,2024-01-20,2024-01-20,2024
91,46,OFFICIAL_WEBSITE,SSC - Staff Selection Commission,https://www.ssc.nic.in,2024-01-20,2024-01-20,2024
92,46,OFFICIAL_GUIDELINE,SSC Exam Registration,https://www.ssc.nic.in,2024-01-20,2024-01-20,2024
93,47,OFFICIAL_WEBSITE,RRB - Railway Recruitment,https://www.rrbonlinereg.in,2024-01-20,2024-01-20,2024
94,47,OFFICIAL_GUIDELINE,Railway Job Application,https://www.rrbonlinereg.in,2024-01-20,2024-01-20,2024
95,48,OFFICIAL_WEBSITE,Universities - Admission Portal,https://www.ugadmissions.ac.in,2024-01-15,2024-01-15,2024
96,48,OFFICIAL_GUIDELINE,College Admission Guidelines,https://www.ugadmissions.ac.in,2024-01-15,2024-01-15,2024
97,49,OFFICIAL_WEBSITE,NTA - JEE Main Registration,https://jeemain.nta.ac.in,2024-01-15,2024-01-15,2024
98,49,OFFICIAL_GUIDELINE,JEE Application Instructions,https://jeemain.nta.ac.in,2024-01-15,2024-01-15,2024
99,50,OFFICIAL_WEBSITE,NTA - NEET Exam Registration,https://neet.nta.ac.in,2024-01-15,2024-01-15,2024
100,50,OFFICIAL_GUIDELINE,NEET Application Guidelines,https://neet.nta.ac.in,2024-01-15,2024-01-15,2024
101,51,OFFICIAL_WEBSITE,CBSE - Board Exam Registration,https://cbseacademic.nic.in,2024-01-15,2024-01-15,2024
102,51,OFFICIAL_GUIDELINE,CBSE Exam Registration,https://cbseacademic.nic.in,2024-01-15,2024-01-15,2024
103,52,OFFICIAL_WEBSITE,Ministry of Education - Fellowship,https://www.eduniti.gov.in,2024-01-20,2024-01-20,2024
104,52,OFFICIAL_GUIDELINE,Fellowship Application Guidelines,https://www.eduniti.gov.in,2024-01-20,2024-01-20,2024
105,53,OFFICIAL_WEBSITE,State Revenue - Land Records,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
106,53,OFFICIAL_GUIDELINE,Land Record Application,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
107,54,OFFICIAL_WEBSITE,Sub-Registrar - Encumbrance Certificate,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
108,54,OFFICIAL_GUIDELINE,Encumbrance Certificate Guidelines,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
109,55,OFFICIAL_WEBSITE,Local Authority - NOC Property,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
110,55,OFFICIAL_GUIDELINE,NOC Application Process,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
111,56,OFFICIAL_WEBSITE,Testing Center - PUC Certificate,https://parivahan.gov.in,2024-01-15,2024-01-15,2024
112,56,OFFICIAL_GUIDELINE,Pollution Certificate Guidelines,https://parivahan.gov.in,2024-01-15,2024-01-15,2024
113,57,OFFICIAL_WEBSITE,Testing Center - Vehicle Fitness,https://parivahan.gov.in,2024-01-15,2024-01-15,2024
114,57,OFFICIAL_GUIDELINE,Vehicle Fitness Certificate,https://parivahan.gov.in,2024-01-15,2024-01-15,2024
115,58,OFFICIAL_WEBSITE,Municipal Corporation - Trade License,https://mcdonline.nic.in,2024-01-20,2024-01-20,2024
116,58,OFFICIAL_GUIDELINE,Trade License Application,https://mcdonline.nic.in,2024-01-20,2024-01-20,2024
117,59,OFFICIAL_WEBSITE,Municipal Authority - Shop Act License,https://mcdonline.nic.in,2024-01-15,2024-01-15,2024
118,59,OFFICIAL_GUIDELINE,Shop Act License Guidelines,https://mcdonline.nic.in,2024-01-15,2024-01-15,2024
119,60,OFFICIAL_WEBSITE,DGFT - Import Export Code,https://www.dgft.gov.in,2024-01-20,2024-01-20,2024
120,60,OFFICIAL_GUIDELINE,IEC Application Process,https://www.dgft.gov.in,2024-01-20,2024-01-20,2024
121,61,OFFICIAL_WEBSITE,Ministry of MSME - Udyam Registration,https://udyamregistration.gov.in,2024-01-20,2024-01-20,2024
122,61,OFFICIAL_GUIDELINE,Udyam Registration Guidelines,https://udyamregistration.gov.in,2024-01-20,2024-01-20,2024
123,62,OFFICIAL_WEBSITE,DPIIT - Startup India,https://www.startupindia.gov.in,2024-01-20,2024-01-20,2024
124,62,OFFICIAL_GUIDELINE,Startup Registration Guidelines,https://www.startupindia.gov.in,2024-01-20,2024-01-20,2024
125,63,OFFICIAL_WEBSITE,BIS - ISI Certification,https://www.bis.gov.in,2024-01-15,2024-01-15,2024
126,63,OFFICIAL_GUIDELINE,BIS Certification Process,https://www.bis.gov.in,2024-01-15,2024-01-15,2024
127,64,OFFICIAL_WEBSITE,FSSAI - Food License,https://www.fssai.gov.in,2024-01-20,2024-01-20,2024
128,64,OFFICIAL_GUIDELINE,FSSAI License Guidelines,https://www.fssai.gov.in,2024-01-20,2024-01-20,2024
129,65,OFFICIAL_WEBSITE,State Pollution Board - Clearance,https://www.cpcbenvis.nic.in,2024-01-15,2024-01-15,2024
130,65,OFFICIAL_GUIDELINE,Pollution Board Process,https://www.cpcbenvis.nic.in,2024-01-15,2024-01-15,2024
131,66,OFFICIAL_WEBSITE,Department of Labour - Factory License,https://labour.gov.in,2024-01-15,2024-01-15,2024
132,66,OFFICIAL_GUIDELINE,Factory Registration Guidelines,https://labour.gov.in,2024-01-15,2024-01-15,2024
133,67,OFFICIAL_WEBSITE,Municipal Corporation - Birth Certificate,https://aadhaar.uidai.gov.in,2024-01-20,2024-01-20,2024
134,67,OFFICIAL_GUIDELINE,Birth Registration Process,https://aadhaar.uidai.gov.in,2024-01-20,2024-01-20,2024
135,68,OFFICIAL_WEBSITE,Municipal Corporation - Death Certificate,https://aadhaar.uidai.gov.in,2024-01-15,2024-01-15,2024
136,68,OFFICIAL_GUIDELINE,Death Registration Process,https://aadhaar.uidai.gov.in,2024-01-15,2024-01-15,2024
137,69,OFFICIAL_WEBSITE,Municipal Corporation - Marriage Certificate,https://aadhaar.uidai.gov.in,2024-01-15,2024-01-15,2024
138,69,OFFICIAL_GUIDELINE,Marriage Registration Guidelines,https://aadhaar.uidai.gov.in,2024-01-15,2024-01-15,2024
139,70,OFFICIAL_WEBSITE,District Court - Succession Certificate,https://districts.ecourts.gov.in,2024-01-15,2024-01-15,2024
140,70,OFFICIAL_GUIDELINE,Succession Certificate Application,https://districts.ecourts.gov.in,2024-01-15,2024-01-15,2024
141,71,OFFICIAL_WEBSITE,State Bar Council - Notary Services,https://www.barcouncil.org.in,2024-01-15,2024-01-15,2024
142,71,OFFICIAL_GUIDELINE,Notary Application Guidelines,https://www.barcouncil.org.in,2024-01-15,2024-01-15,2024
143,72,OFFICIAL_WEBSITE,RTI Online Portal,https://rtionline.gov.in,2024-01-20,2024-01-20,2024
144,72,OFFICIAL_GUIDELINE,RTI Request Guidelines,https://rtionline.gov.in,2024-01-20,2024-01-20,2024
145,73,OFFICIAL_WEBSITE,DPIIT - Grievance Portal,https://pgportal.gov.in,2024-01-15,2024-01-15,2024
146,73,OFFICIAL_GUIDELINE,Grievance Filing Process,https://pgportal.gov.in,2024-01-15,2024-01-15,2024
147,74,OFFICIAL_WEBSITE,Armed Forces Recruitment,https://www.joinindianarmy.nic.in,2024-01-20,2024-01-20,2024
148,74,OFFICIAL_GUIDELINE,Military Recruitment Guidelines,https://www.joinindianarmy.nic.in,2024-01-20,2024-01-20,2024
149,75,OFFICIAL_WEBSITE,State Police - Recruitment,https://ssc.nic.in,2024-01-20,2024-01-20,2024
150,75,OFFICIAL_GUIDELINE,Police Job Application,https://ssc.nic.in,2024-01-20,2024-01-20,2024
