rule_id,form_id,field_id,rule_type,rule_expression,error_message,severity
106,16,99,REQUIRED,[not_empty],Current owner name is required,HIGH
107,16,99,FORMAT,^[A-Za-z\s]{3,100}$,Name must contain only letters,HIGH
108,16,100,REQUIRED,[not_empty],New owner name is required,HIGH
109,16,100,FORMAT,^[A-Za-z\s]{3,100}$,Name must contain only letters,HIGH
110,16,101,REQUIRED,[not_empty],Transfer date is required,HIGH
111,16,101,DATE_FORMAT,^\d{2}/\d{2}/\d{4}$,Date must be DD/MM/YYYY format,HIGH
112,17,102,REQUIRED,[not_empty],Full name is required,HIGH
113,17,102,FORMAT,^[A-Za-z\s]{3,100}$,Name must contain only letters,HIGH
114,17,105,REQUIRED,[not_empty],Family size is required,HIGH
115,17,105,FORMAT,^[1-9]$,Family size must be between 1 and 9,HIGH
116,17,106,REQUIRED,[not_empty],Family income is required,HIGH
117,17,106,FORMAT,^[0-9]+$,Income must be a valid number,HIGH
118,18,108,REQUIRED,[not_empty],Full name is required,HIGH
119,18,108,FORMAT,^[A-Za-z\s]{3,100}$,Name must contain only letters,HIGH
120,18,109,REQUIRED,[not_empty],Connection ID is required,HIGH
121,18,109,FORMAT,^[0-9]{13}$,Connection ID must be 13 digits,HIGH
122,18,110,REQUIRED,[not_empty],Mobile number is required,HIGH
123,18,110,FORMAT,^[0-9]{10}$,Mobile must be exactly 10 digits,HIGH
124,18,111,REQUIRED,[not_empty],Aadhaar number is required,HIGH
125,18,111,FORMAT,^[0-9]{12}$,Aadhaar must be exactly 12 digits,HIGH
126,19,113,REQUIRED,[not_empty],Full name is required,HIGH
127,19,113,FORMAT,^[A-Za-z\s]{3,100}$,Name must contain only letters,HIGH
128,19,115,REQUIRED,[not_empty],Family members count is required,HIGH
129,19,115,FORMAT,^[1-9]$,Family size must be between 1 and 9,HIGH
130,19,117,REQUIRED,[not_empty],Annual income is required,HIGH
131,19,117,FORMAT,^[0-9]+$,Income must be a valid number,HIGH
132,20,118,REQUIRED,[not_empty],Full name is required,HIGH
133,20,118,FORMAT,^[A-Za-z\s]{3,100}$,Name must contain only letters,HIGH
134,20,119,REQUIRED,[not_empty],Date of birth is required,HIGH
135,20,119,DATE_FORMAT,^\d{2}/\d{2}/\d{4}$,Date must be DD/MM/YYYY format,HIGH
136,20,119,DATE_FORMAT,[age >= 60],Must be at least 60 years old for pension,HIGH
137,20,122,REQUIRED,[not_empty],Bank account is required,HIGH
138,20,122,FORMAT,^[0-9]{16}$,Bank account must be 16 digits,HIGH
139,21,123,REQUIRED,[not_empty],Applicant name is required,HIGH
140,21,123,FORMAT,^[A-Za-z\s]{3,100}$,Name must contain only letters,HIGH
141,21,124,REQUIRED,[not_empty],Date of birth is required,HIGH
142,21,124,DATE_FORMAT,^\d{2}/\d{2}/\d{4}$,Date must be DD/MM/YYYY format,HIGH
143,21,126,REQUIRED,[not_empty],Monthly income is required,HIGH
144,21,126,FORMAT,^[0-9]+$,Income must be a valid number,HIGH
145,21,127,REQUIRED,[not_empty],Loan amount is required,HIGH
146,21,127,FORMAT,^[0-9]+$,Amount must be a valid number,HIGH
147,21,128,REQUIRED,[not_empty],Loan tenure is required,HIGH
148,21,128,FORMAT,^[0-9]{2,3}$,Tenure must be 2-3 digits,HIGH
149,22,129,REQUIRED,[not_empty],PAN is required,HIGH
150,22,129,FORMAT,^[A-Z]{5}[0-9]{4}[A-Z]{1}$,Invalid PAN format,HIGH
