form_id,form_code,form_name,category,sub_category,authority,country,description,form_url,instructions_url,version,status,last_verified_date
27,ITR-5,Income Tax Return (ITR-5),Tax & Finance,Income Tax,Income Tax Department,India,ITR for partnership firms,https://www.incometaxindia.gov.in/forms,https://www.incometaxindia.gov.in/forms,2024,active,2024-01-15
28,ITR-6,Income Tax Return (ITR-6),Tax & Finance,Income Tax,Income Tax Department,India,ITR for companies,https://www.incometaxindia.gov.in/forms,https://www.incometaxindia.gov.in/forms,2024,active,2024-01-15
29,FOREIGN-TAX,Foreign Tax Credit Form (49-FA),Tax & Finance,Foreign Tax,Income Tax Department,India,Claim for relief under Foreign Income provisions,https://www.incometaxindia.gov.in/forms,https://www.incometaxindia.gov.in/forms,2024,active,2024-01-15
30,GST-RETURN,GST Return Filing (GSTR-1),Tax & Finance,GST Return,GSTN,India,Monthly/quarterly return for outward supplies under GST,https://www.gst.gov.in,https://www.gst.gov.in,2024,active,2024-01-20
31,CUSTOMS-FORM,Customs Declaration (Form C),Tax & Finance,Customs,Central Board of Indirect Taxes,India,Declaration for import/export of goods,https://www.cbic.gov.in,https://www.cbic.gov.in,2024,active,2024-01-15
32,PASSPORT-MINOR,Passport Application for Minor,Identity & Travel,Passport,Passport Seva,India,Application for issuance of passport for children below 18 years,https://www.passportindia.gov.in,https://www.passportindia.gov.in,2024,active,2024-01-20
33,VISA-VISA,Visa Application Form,Identity & Travel,Visa,Ministry of External Affairs,India,Application for international travel visa,https://www.mea.gov.in,https://www.mea.gov.in,2024,active,2024-01-20
34,OCI-APP,Overseas Citizen of India (OCI) Application,Identity & Travel,OCI,Ministry of External Affairs,India,Application for OCI registration by persons of Indian origin,https://www.mea.gov.in,https://www.mea.gov.in,2024,active,2024-01-20
35,DOMICILE-CERT,Domicile Certificate Application,Identity & Travel,Domicile,State Revenue Department,India,Application for domicile certificate from district administration,https://revenuedept.gov.in,https://revenuedept.gov.in,2024,active,2024-01-15
36,CASTE-CERT,Caste Certificate Application,Identity & Travel,Caste Certificate,State Revenue Department,India,Application for SC/ST/OBC caste certificate,https://revenuedept.gov.in,https://revenuedept.gov.in,2024,active,2024-01-15
37,INCOME-CERT,Income Certificate Application,Identity & Travel,Income Certificate,State Revenue Department,India,Application for income certificate for financial assistance,https://revenuedept.gov.in,https://revenuedept.gov.in,2024,active,2024-01-15
38,LOAN-APP,Bank Loan Application Form,Banking & Finance,Loan,Commercial Banks,India,Application for personal/business/home loan,https://www.rbi.org.in,https://www.rbi.org.in,2024,active,2024-01-15
39,DEMAT-ACCOUNT,DEMAT Account Opening Form,Banking & Finance,Demat Account,CDSL/NSDL,India,Application for opening dematerialized securities account,https://www.cdsl.co.in,https://www.cdsl.co.in,2024,active,2024-01-15
40,TRADING-ACCOUNT,Trading Account Opening Form,Banking & Finance,Trading Account,Stock Brokers,India,Application for stock market trading account,https://www.nseindia.com,https://www.nseindia.com,2024,active,2024-01-15
41,MUTUAL-FUND,Mutual Fund Investment Form,Banking & Finance,Investment,AMFI,India,Application for mutual fund investment,https://www.amfiindia.com,https://www.amfiindia.com,2024,active,2024-01-15
42,NPS-SUBSCRIPTION,National Pension System (NPS) Subscription,Banking & Finance,Pension,PFRDA,India,Subscription form for NPS retirement account,https://www.nps.gov.in,https://www.nps.gov.in,2024,active,2024-01-20
43,PF-TRANSFER,PF Transfer Application (Form 13),Employment & Social,PF Transfer,EPFO,India,Application for transfer of PF to new employer,https://www.epfindia.gov.in,https://www.epfindia.gov.in,2024,active,2024-01-20
44,PF-SETTLEMENT,PF Settlement Application (Form 19),Employment & Social,PF Withdrawal,EPFO,India,Application for final settlement of PF on job termination,https://www.epfindia.gov.in,https://www.epfindia.gov.in,2024,active,2024-01-20
45,MATERNITY-BENEFIT,Maternity Benefit Claim (ESI),Employment & Social,ESI Maternity,ESIC,India,Claim for maternity benefit under ESI scheme,https://www.esic.nic.in,https://www.esic.nic.in,2024,active,2024-01-15
46,DISABILITY-CERT,Disability Certificate Application,Employment & Social,Disability,District Medical Board,India,Application for disability certificate for welfare benefits,https://socialwelfare.gov.in,https://socialwelfare.gov.in,2024,active,2024-01-15
47,JOB-APPLICATION,Government Job Application (UPSC),Employment & Social,Job Application,Union Public Service Commission,India,Application for civil services examination,https://www.upsc.gov.in,https://www.upsc.gov.in,2024,active,2024-01-20
48,STAFF-SELECTION,Staff Selection Commission Application,Employment & Social,Job Application,Staff Selection Commission,India,Application for SSC examination,https://www.ssc.nic.in,https://www.ssc.nic.in,2024,active,2024-01-20
49,RAILWAY-APP,Railway Recruitment Application,Employment & Social,Job Application,Railway Recruitment Board,India,Application for railway job positions,https://www.rrbonlinereg.in,https://www.rrbonlinereg.in,2024,active,2024-01-20
50,ADMIT-CARD-APP,College Admission Application,Education,Admission,Various Universities,India,Application for undergraduate college admission,https://www.ugadmissions.ac.in,https://www.ugadmissions.ac.in,2024,active,2024-01-15
51,JEE-REGISTRATION,JEE Main/Advanced Registration,Education,Examination,National Testing Agency,India,Application for Joint Entrance Examination,https://jeemain.nta.ac.in,https://jeemain.nta.ac.in,2024,active,2024-01-15
52,NEET-REGISTRATION,NEET Exam Registration,Education,Examination,National Testing Agency,India,Application for National Eligibility cum Entrance Test,https://neet.nta.ac.in,https://neet.nta.ac.in,2024,active,2024-01-15
53,CBSE-REGISTRATION,CBSE Board Exam Registration,Education,Examination,CBSE,India,Registration for CBSE board examinations,https://cbseacademic.nic.in,https://cbseacademic.nic.in,2024,active,2024-01-15
54,FELLOWSHIP-APP,Research Fellowship Application,Education,Fellowship,Ministry of Education,India,Application for doctoral research fellowship,https://www.eduniti.gov.in,https://www.eduniti.gov.in,2024,active,2024-01-20
55,LAND-RECORD,Land Record Application,Property & Land,Land Records,State Revenue Department,India,Application to obtain copies of land records and survey documents,https://revenuedept.gov.in,https://revenuedept.gov.in,2024,active,2024-01-15
56,ENCUMBRANCE,Encumbrance Certificate Application,Property & Land,Land Certificate,State Sub-Registrar,India,Application for encumbrance-free land certificate,https://revenuedept.gov.in,https://revenuedept.gov.in,2024,active,2024-01-15
57,NOC-PROPERTY,No Objection Certificate (Property),Property & Land,NOC,Local Authority,India,Application for NOC from gram panchayat for property transaction,https://revenuedept.gov.in,https://revenuedept.gov.in,2024,active,2024-01-15
58,VEHICLE-POLLUTION,Vehicle Pollution Certificate (PUC),Property & Land,Vehicle Certificate,Authorized Testing Center,India,Application for Pollution Under Control certificate,https://parivahan.gov.in,https://parivahan.gov.in,2024,active,2024-01-15
59,VEHICLE-FITNESS,Vehicle Fitness Certificate,Property & Land,Vehicle Certificate,Authorized Testing Center,India,Application for commercial vehicle fitness certificate,https://parivahan.gov.in,https://parivahan.gov.in,2024,active,2024-01-15
60,TRADE-LICENSE,Trade License Application,Business & Commerce,Business License,Municipal Corporation,India,Application for business/shop trade license,https://mcdonline.nic.in,https://mcdonline.nic.in,2024,active,2024-01-20
61,SHOP-ACT,Shop Act License Application,Business & Commerce,Shop License,Municipal Authority,India,Application for shop and commercial establishment license,https://mcdonline.nic.in,https://mcdonline.nic.in,2024,active,2024-01-15
62,IMPORT-EXPORT,Import Export Code (IEC) Application,Business & Commerce,Trade,Director General of Foreign Trade,India,Application for IEC registration for international trade,https://www.dgft.gov.in,https://www.dgft.gov.in,2024,active,2024-01-20
63,UDYAM-REG,Udyam Registration (MSME),Business & Commerce,MSME Registration,Ministry of MSME,India,Registration for micro/small/medium enterprises,https://udyamregistration.gov.in,https://udyamregistration.gov.in,2024,active,2024-01-20
64,STARTUP-INDIA,Startup India Registration,Business & Commerce,Startup,Department of Industrial Policy,India,Application for Startup India certification,https://www.startupindia.gov.in,https://www.startupindia.gov.in,2024,active,2024-01-20
65,BIS-CERT,BIS Certification Application,Business & Commerce,Certification,Bureau of Indian Standards,India,Application for ISI mark certification,https://www.bis.gov.in,https://www.bis.gov.in,2024,active,2024-01-15
66,FSSAI-LICENSE,FSSAI License Application,Business & Commerce,Food License,Food Safety and Standards Authority,India,Application for food business license,https://www.fssai.gov.in,https://www.fssai.gov.in,2024,active,2024-01-20
67,POLLUTION-BOARD,Pollution Board Clearance,Business & Commerce,Environmental,State Pollution Board,India,Application for environmental clearance and consent,https://www.cpcbenvis.nic.in,https://www.cpcbenvis.nic.in,2024,active,2024-01-15
68,FACTORY-LICENSE,Factory License Application,Business & Commerce,Industrial,Department of Labour,India,Application for factory registration and license,https://labour.gov.in,https://labour.gov.in,2024,active,2024-01-15
69,BIRTH-CERT,Birth Certificate Application,Government Services,Vital Records,Municipal Corporation,India,Application for birth registration and certificate,https://aadhaar.uidai.gov.in,https://aadhaar.uidai.gov.in,2024,active,2024-01-20
70,DEATH-CERT,Death Certificate Application,Government Services,Vital Records,Municipal Corporation,India,Application for death registration and certificate,https://aadhaar.uidai.gov.in,https://aadhaar.uidai.gov.in,2024,active,2024-01-15
71,MARRIAGE-CERT,Marriage Certificate Application,Government Services,Vital Records,Municipal Corporation,India,Application for marriage registration and certificate,https://aadhaar.uidai.gov.in,https://aadhaar.uidai.gov.in,2024,active,2024-01-15
72,SUCCESSION-CERT,Succession Certificate Application,Government Services,Legal Document,District Court,India,Application for succession certificate in civil court,https://districts.ecourts.gov.in,https://districts.ecourts.gov.in,2024,active,2024-01-15
73,NOTARY-APP,Notary Application,Government Services,Legal Services,State Bar Council,India,Application for notarization of documents,https://www.barcouncil.org.in,https://www.barcouncil.org.in,2024,active,2024-01-15
74,RTI-APPLICATION,Right to Information (RTI) Request,Government Services,Information Access,Public Information Officer,India,RTI application to obtain government information,https://rtionline.gov.in,https://rtionline.gov.in,2024,active,2024-01-20
75,GPDP-COMPLAINT,Grievance Redressal Application,Government Services,Complaint,DPIIT,India,Application for lodging grievance against government action,https://pgportal.gov.in,https://pgportal.gov.in,2024,active,2024-01-15
76,ARMED-FORCES,Armed Forces Recruitment Application,Employment & Social,Military,Department of Defence,India,Application for officer/soldier recruitment in armed forces,https://www.joinindianarmy.nic.in,https://www.joinindianarmy.nic.in,2024,active,2024-01-20
77,POLICE-RECRUITMENT,Police Recruitment Application,Employment & Social,Police,State Police Department,India,Application for police constable/officer positions,https://ssc.nic.in,https://ssc.nic.in,2024,active,2024-01-20
78,SCHOLARSHIP-PG,Post Graduate Scholarship Application,Education,Scholarship,Ministry of Education,India,Application for post-graduation scholarships,https://scholarships.gov.in,https://scholarships.gov.in,2024,active,2024-01-20
79,RESEARCH-GRANT,Research Grant Application,Education,Research,Various Agencies,India,Application for government research funding and grants,https://dst.gov.in,https://dst.gov.in,2024,active,2024-01-20
80,VISA-EXTENSION,Visa Extension Application,Identity & Travel,Visa Extension,Ministry of External Affairs,India,Application for extension of visa validity period,https://www.mea.gov.in,https://www.mea.gov.in,2024,active,2024-01-20
