mistake_id,form_id,field_id,mistake,explanation,severity,prevention_tip
43,34,175,Wrong form version,Using old OCI form instead of current one,HIGH,Use latest form from official website - version matters
44,35,178,Temporary address listed,Listing rental address as permanent,HIGH,Permanent address should be domicile - where you own property
45,36,180,Using nickname in caste name,Entering caste by nickname instead of revenue record name,HIGH,Use exact caste name from revenue documents
46,37,182,Rounding income,Reporting approximate instead of exact income,MEDIUM,Use actual certified income - round to nearest rupee
47,38,199,Income from different year,Using previous year salary slip,HIGH,Use salary slip from current financial year
48,39,205,Wrong account type,Opening wrong type of Demat account,MEDIUM,DP links BO - ensure account type matches investment plan
49,40,215,Blank nominee field,Not filling nominee information,HIGH,Nominee is mandatory - provide complete details
50,41,225,Incorrect NPS tier,Selecting Tier 2 account without Tier 1,HIGH,Tier 1 must be active before opening Tier 2
51,42,235,Old employer code,Using previous employer's PF code instead of new one,HIGH,New employer provides new EPF code - use it for transfer
52,43,245,Incomplete transfer form,Form 13 submitted without all signatures,HIGH,Both employers must sign - incomplete forms get rejected
53,44,255,Wrong claim reason,Misclassifying reason for PF withdrawal,MEDIUM,Select actual reason - incorrect classification delays approval
54,45,265,Incomplete medical details,Not providing hospital name and date,HIGH,Medical details are mandatory for claim verification
55,46,275,Missing employment letter,Not attaching job offer or employment proof,HIGH,Employment proof is essential - attach official letter
56,47,285,Wrong age calculation,Off-by-one year in age,HIGH,Verify birth date - age limit strictly enforced
57,48,295,Incomplete education proof,Not attaching all semester mark sheets,HIGH,Attach complete academic record - all semesters required
58,49,305,Using nickname,Filing with nickname instead of legal name,HIGH,Use name from official certificate - match exactly
59,50,315,Wrong class selected,Selecting different exam class than currently studied,HIGH,Enter current class - exam class must match enrollment
60,51,325,Incomplete school details,Not mentioning board (CBSE/ICSE/State),MEDIUM,Board name is mandatory - specify clearly
61,52,335,Multiple exam registrations,Registering for same exam multiple times,HIGH,One registration per exam session - duplicate rejected
62,53,345,Age limit violated,Applying above age limit,HIGH,Check age eligibility - age calculated as on cutoff date
63,54,355,Wrong degree type,Claiming degree not yet completed,HIGH,Only completed degrees count - provisional certificates not accepted
64,55,365,Incomplete land description,Survey number mentioned but boundaries unclear,HIGH,Include all identification details: plot/block/survey/area
65,56,375,Old encumbrance certificate,Using encumbrance older than 6 months,MEDIUM,Recent certificate required - verify date of issue
66,57,385,Missing gram panchayat seal,NOC submitted without official seal,HIGH,NOC must be sealed and signed by authorized officer
67,58,395,Invalid PUC validity,Submitting expired pollution certificate,HIGH,PUC must be current - valid for 12 months from issue
68,59,405,Wrong vehicle class,Registering two-wheeler as four-wheeler,HIGH,Vehicle class must match actual category
69,60,415,Incomplete business address,Writing partial address without street/building number,HIGH,Address must be complete - street number essential
70,60,415,Using residential address,Listing home address for business license,MEDIUM,Business address should be actual business location
71,61,425,Missing authorized signatory,Application signed by wrong person,HIGH,Only shop owner or authorized agent can sign
72,62,435,Wrong applicant entity,Individual applying instead of registered business,HIGH,IEC registration requires business entity status
73,63,445,Missing bank account,Not providing business bank account number,HIGH,Bank account for business is mandatory
74,64,455,Old partnership deed,Submitting partnership deed not updated,MEDIUM,Deed must be current - latest amendments included
75,65,465,Incomplete BIS requirement,Not specifying product category for ISI,HIGH,Product category must be mentioned - determines test requirements
76,66,475,Wrong food category,Misclassifying food business type,HIGH,Specify exact category: manufacturing/trading/retail
77,67,485,Environmental impact underestimated,Not providing complete EIA report,HIGH,Environmental impact assessment is mandatory
78,68,495,Wrong labor code,Using incorrect industrial classification code,MEDIUM,Classification determines labor law applicability
79,69,505,Duplicate registration,Registering same birth with multiple offices,HIGH,Birth can be registered only once - in place of delivery
80,70,515,Incorrect death date,Reporting wrong death date,HIGH,Death date must match medical certificate
81,71,525,Marriage date inconsistency,Registration date differs from marriage date,MEDIUM,Certificate date is registration date - marriage date in details
82,72,535,Wrong applicant,Non-heir applying for succession,HIGH,Only legal heirs can apply - relationship must be proven
83,73,545,Invalid notary credentials,Document notarized by non-qualified notary,HIGH,Notary must be registered with Bar Council
84,74,555,Frivolous RTI request,Requesting information already publicly available,MEDIUM,Check public domain first - avoid redundant requests
85,75,565,Missing grievance details,Not providing specific instance of grievance,HIGH,Grievance must be specific - vague complaints dismissed
86,76,575,Age limit exceeded,Applying above military age limit,HIGH,Age limits strictly enforced - check before applying
87,77,585,Criminal record hidden,Not disclosing criminal conviction,HIGH,Criminal disclosure mandatory - false statement is perjury
88,78,595,Wrong enrollment window,Applying outside scholarship season,MEDIUM,Applications accepted only during notification period
89,79,605,Incomplete research proposal,Submitting vague or incomplete proposal,HIGH,Research proposal must be detailed and feasible
90,80,615,Visa type mismatch,Applying for visa for different purpose than stated,HIGH,Visa purpose must match employment/education/travel
